tiempo_s,aceleracion_z
0.000,-10.364
0.010,-10.391
0.020,-10.418
0.030,-10.445
0.040,-10.422
0.050,-10.335
0.060,-10.248
0.070,-10.156
0.080,-10.015
0.090,-9.874
0.100,-9.733
0.110,-9.620
0.120,-9.515
0.130,-9.410
0.140,-9.335
0.150,-9.299
0.160,-9.263
0.170,-9.231
0.180,-9.237
0.190,-9.243
0.200,-9.249
0.210,-9.273
0.220,-9.303
0.230,-9.333
0.240,-9.378
0.250,-9.444
0.260,-9.510
0.270,-9.575
0.280,-9.626
0.290,-9.677
0.300,-9.728
0.310,-9.774
0.320,-9.819
0.330,-9.864
0.340,-9.900
0.350,-9.924
0.360,-9.948
0.370,-9.972
0.380,-9.990
0.390,-10.008
0.400,-10.026
0.410,-10.048
0.420,-10.072
0.430,-10.096
0.440,-10.121
0.450,-10.148
0.460,-10.175
0.470,-10.201
0.480,-10.213
0.490,-10.225
0.500,-10.237
0.510,-10.242
0.520,-10.245
0.530,-10.248
0.540,-10.239
0.550,-10.212
0.560,-10.185
0.570,-10.153
0.580,-10.079
0.590,-10.004
0.600,-9.929
0.610,-9.842
0.620,-9.752
0.630,-9.662
0.640,-9.580
0.650,-9.508
0.660,-9.436
0.670,-9.368
0.680,-9.344
0.690,-9.320
0.700,-9.296
0.710,-9.290
0.720,-9.290
0.730,-9.290
0.740,-9.310
0.750,-9.358
0.760,-9.406
0.770,-9.454
0.780,-9.505
0.790,-9.556
0.800,-9.607
0.810,-9.658
0.820,-9.709
0.830,-9.760
0.840,-9.802
0.850,-9.832
0.860,-9.862
0.870,-9.892
0.880,-9.919
0.890,-9.946
0.900,-9.973
0.910,-9.993
0.920,-10.011
0.930,-10.029
0.940,-10.047
0.950,-10.065
0.960,-10.083
0.970,-10.101
0.980,-10.119
0.990,-10.137
1.000,-10.155
1.010,-10.178
1.020,-10.202
1.030,-10.226
1.040,-10.247
1.050,-10.265
1.060,-10.283
1.070,-10.300
1.080,-10.297
1.090,-10.294
1.100,-10.291
1.110,-10.234
1.120,-10.159
1.130,-10.084
1.140,-9.986
1.150,-9.854
