tiempo_s,aceleracion_z
3.530,-9.836
3.540,-9.540
3.550,-9.339
3.560,-9.138
3.570,-8.938
3.580,-8.845
3.590,-8.752
3.600,-8.660
3.610,-8.677
3.620,-8.746
3.630,-8.815
3.640,-8.855
3.650,-8.840
3.660,-8.825
3.670,-8.812
3.680,-8.962
3.690,-9.112
3.700,-9.262
3.710,-9.463
3.720,-9.688
3.730,-9.913
3.740,-10.116
3.750,-10.278
3.760,-10.440
3.770,-10.602
3.780,-10.731
3.790,-10.859
3.800,-10.988
3.810,-11.136
3.820,-11.292
3.830,-11.448
3.840,-11.552
3.850,-11.558
3.860,-11.564
3.870,-11.566
3.880,-11.201
3.890,-10.835
3.900,-10.469
3.910,-10.153
3.920,-9.863
3.930,-9.572
3.940,-9.322
3.950,-9.151
3.960,-8.980
3.970,-8.810
3.980,-8.750
3.990,-8.690
4.000,-8.630
4.010,-8.596
4.020,-8.575
4.030,-8.554
4.040,-8.558
4.050,-8.612
4.060,-8.666
4.070,-8.721
4.080,-8.991
4.090,-9.261
4.100,-9.531
4.110,-9.757
4.120,-9.961
4.130,-10.165
4.140,-10.343
4.150,-10.472
4.160,-10.601
4.170,-10.730
4.180,-10.853
4.190,-10.976
4.200,-11.099
4.210,-11.190
4.220,-11.265
4.230,-11.340
4.240,-11.352
4.250,-11.238
4.260,-11.124
4.270,-11.010
4.280,-10.722
4.290,-10.434
4.300,-10.146
4.310,-9.904
4.320,-9.685
4.330,-9.466
4.340,-9.270
4.350,-9.120
4.360,-8.970
4.370,-8.820
4.380,-8.832
4.390,-8.844
4.400,-8.856
4.410,-8.824
4.420,-8.770
4.430,-8.716
4.440,-8.692
4.450,-8.728
4.460,-8.764
4.470,-8.800
4.480,-9.048
4.490,-9.297
4.500,-9.546
4.510,-9.745
4.520,-9.919
4.530,-10.093
4.540,-10.256
4.550,-10.397
4.560,-10.538
4.570,-10.679
4.580,-10.853
4.590,-11.027
4.600,-11.201
4.610,-11.307
4.620,-11.379
4.630,-11.451
4.640,-11.469
4.650,-11.373
4.660,-11.277
4.670,-11.181
4.680,-10.800
4.690,-10.416
4.700,-10.032
4.710,-9.766
4.720,-9.562
4.730,-9.358
4.740,-9.181
4.750,-9.061
4.760,-8.941
4.770,-8.821
4.780,-8.820
4.790,-8.820
4.800,-8.820
4.810,-8.796
4.820,-8.760
4.830,-8.724
4.840,-8.740
4.850,-8.866
4.860,-8.992
4.870,-9.118
4.880,-9.368
4.890,-9.620
4.900,-9.872
4.910,-10.066
4.920,-10.228
4.930,-10.390
4.940,-10.538
4.950,-10.658
4.960,-10.778
4.970,-10.898
4.980,-11.015
4.990,-11.132
5.000,-11.249
5.010,-11.280
5.020,-11.265
5.030,-11.250
5.040,-11.192
5.050,-11.039
5.060,-10.886
5.070,-10.733
5.080,-10.503
5.090,-10.272
5.100,-10.041
5.110,-9.814
5.120,-9.589
5.130,-9.364
5.140,-9.172
5.150,-9.052
5.160,-8.932
5.170,-8.812
5.180,-8.869
5.190,-8.929
5.200,-8.989
5.210,-8.989
5.220,-8.956
5.230,-8.923
5.240,-8.956
5.250,-9.136
5.260,-9.316
5.270,-9.496
5.280,-9.679
5.290,-9.862
5.300,-10.045
5.310,-10.201
5.320,-10.342
5.330,-10.483
5.340,-10.621
5.350,-10.753
5.360,-10.885
5.370,-11.017
5.380,-11.216
5.390,-11.417
5.400,-11.618
5.410,-11.657
5.420,-11.606
5.430,-11.555
5.440,-11.418
5.450,-11.085
5.460,-10.752
5.470,-10.419
5.480,-10.107
5.490,-9.795
5.500,-9.483
5.510,-9.247
5.520,-9.056
5.530,-8.864
5.540,-8.720
5.550,-8.687
5.560,-8.654
5.570,-8.621
5.580,-8.681
5.590,-8.744
5.600,-8.807
5.610,-8.851
5.620,-8.884
5.630,-8.917
5.640,-8.997
5.650,-9.186
5.660,-9.375
5.670,-9.564
5.680,-9.753
5.690,-9.942
5.700,-10.131
5.710,-10.282
5.720,-10.411
5.730,-10.540
5.740,-10.666
5.750,-10.786
5.760,-10.906
5.770,-11.026
5.780,-11.215
5.790,-11.407
5.800,-11.599
5.810,-11.651
5.820,-11.621
5.830,-11.591
5.840,-11.442
5.850,-11.010
5.860,-10.578
5.870,-10.146
5.880,-9.838
5.890,-9.535
5.900,-9.232
5.910,-9.048
5.920,-8.934
5.930,-8.820
5.940,-8.758
5.950,-8.818
5.960,-8.878
5.970,-8.938
5.980,-8.908
5.990,-8.875
6.000,-8.842
6.010,-8.896
6.020,-9.001
6.030,-9.106
6.040,-9.236
6.050,-9.428
6.060,-9.620
6.070,-9.812
6.080,-9.967
6.090,-10.120
6.100,-10.273
6.110,-10.409
6.120,-10.535
6.130,-10.661
6.140,-10.785
6.150,-10.905
6.160,-11.025
6.170,-11.145
6.180,-11.282
6.190,-11.420
6.200,-11.558
6.210,-11.556
6.220,-11.469
6.230,-11.382
6.240,-11.204
6.250,-10.802
6.260,-10.401
6.270,-9.999
6.280,-9.791
6.290,-9.593
6.300,-9.395
6.310,-9.236
6.320,-9.101
6.330,-8.966
6.340,-8.884
6.350,-8.932
6.360,-8.980
6.370,-9.028
6.380,-8.990
6.390,-8.948
6.400,-8.906
6.410,-9.005
6.420,-9.191
6.430,-9.377
6.440,-9.570
6.450,-9.783
6.460,-9.996
6.470,-10.209
6.480,-10.337
6.490,-10.460
6.500,-10.583
6.510,-10.711
6.520,-10.843
6.530,-10.975
6.540,-11.103
6.550,-11.220
6.560,-11.337
6.570,-11.454
6.580,-11.494
6.590,-11.530
6.600,-11.566
6.610,-11.336
6.620,-10.937
6.630,-10.538
6.640,-10.175
6.650,-9.905
6.660,-9.635
6.670,-9.365
6.680,-9.237
6.690,-9.117
6.700,-8.997
6.710,-8.893
6.720,-8.800
6.730,-8.707
6.740,-8.638
6.750,-8.629
6.760,-8.620
6.770,-8.611
6.780,-8.672
6.790,-8.738
6.800,-8.804
6.810,-8.969
6.820,-9.197
6.830,-9.424
6.840,-9.647
6.850,-9.857
6.860,-10.067
6.870,-10.277
6.880,-10.400
6.890,-10.517
6.900,-10.634
6.910,-10.751
6.920,-10.868
6.930,-10.985
6.940,-11.107
6.950,-11.242
6.960,-11.377
6.970,-11.512
6.980,-11.486
6.990,-11.450
7.000,-11.414
7.010,-11.170
7.020,-10.789
7.030,-10.408
7.040,-10.066
7.050,-9.829
7.060,-9.592
7.070,-9.355
7.080,-9.191
7.090,-9.032
7.100,-8.873
7.110,-8.803
7.120,-8.791
7.130,-8.779
7.140,-8.760
7.150,-8.724
7.160,-8.688
7.170,-8.652
7.180,-8.790
7.190,-8.940
7.200,-9.090
7.210,-9.281
7.220,-9.500
7.230,-9.719
7.240,-9.927
7.250,-10.104
7.260,-10.281
7.270,-10.458
7.280,-10.584
7.290,-10.707
7.300,-10.830
7.310,-10.944
7.320,-11.052
7.330,-11.160
7.340,-11.260
7.350,-11.335
7.360,-11.410
7.370,-11.485
7.380,-11.317
7.390,-11.131
7.400,-10.946
7.410,-10.672
7.420,-10.339
7.430,-10.006
7.440,-9.705
7.450,-9.492
7.460,-9.279
7.470,-9.066
7.480,-8.975
7.490,-8.894
7.500,-8.813
7.510,-8.798
7.520,-8.828
7.530,-8.858
7.540,-8.874
7.550,-8.850
7.560,-8.826
7.570,-8.802
7.580,-8.988
7.590,-9.192
7.600,-9.396
7.610,-9.614
7.620,-9.842
7.630,-10.070
7.640,-10.271
7.650,-10.394
7.660,-10.517
7.670,-10.640
7.680,-10.785
7.690,-10.932
7.700,-11.079
7.710,-11.212
7.720,-11.335
7.730,-11.458
7.740,-11.535
7.750,-11.475
7.760,-11.415
7.770,-11.355
7.780,-10.997
7.790,-10.613
7.800,-10.230
7.810,-9.930
7.820,-9.690
7.830,-9.450
7.840,-9.223
7.850,-9.037
7.860,-8.852
7.870,-8.666
7.880,-8.677
7.890,-8.707
7.900,-8.737
7.910,-8.740
7.920,-8.722
7.930,-8.704
7.940,-8.732
7.950,-8.903
7.960,-9.074
7.970,-9.245
7.980,-9.460
7.990,-9.679
8.000,-9.898
8.010,-10.080
8.020,-10.236
8.030,-10.392
8.040,-10.534
8.050,-10.633
8.060,-10.732
8.070,-10.831
8.080,-10.960
8.090,-11.092
8.100,-11.224
8.110,-11.299
8.120,-11.332
8.130,-11.365
8.140,-11.340
8.150,-11.133
8.160,-10.926
8.170,-10.719
8.180,-10.378
8.190,-10.024
8.200,-9.670
8.210,-9.425
8.220,-9.260
8.230,-9.095
8.240,-8.958
8.250,-8.907
8.260,-8.856
8.270,-8.805
8.280,-8.765
8.290,-8.726
8.300,-8.687
8.310,-8.713
8.320,-8.788
8.330,-8.863
8.340,-8.963
8.350,-9.143
8.360,-9.323
8.370,-9.503
8.380,-9.675
8.390,-9.846
8.400,-10.017
8.410,-10.162
8.420,-10.288
8.430,-10.414
8.440,-10.543
8.450,-10.681
8.460,-10.819
8.470,-10.957
8.480,-11.059
8.490,-11.158
8.500,-11.257
8.510,-11.252
8.520,-11.168
8.530,-11.084
8.540,-10.945
8.550,-10.624
8.560,-10.303
8.570,-9.982
8.580,-9.785
8.590,-9.602
8.600,-9.419
8.610,-9.242
8.620,-9.068
8.630,-8.894
8.640,-8.747
8.650,-8.694
8.660,-8.640
8.670,-8.586
