tiempo_s,aceleracion_z
0.000,-10.009
0.010,-10.005
0.020,-9.999
0.030,-9.993
0.040,-9.993
0.050,-9.999
0.060,-10.005
0.070,-10.009
0.080,-10.003
0.090,-9.997
0.100,-9.991
0.110,-9.981
0.120,-9.969
0.130,-9.957
0.140,-9.953
0.150,-9.959
0.160,-9.965
0.170,-9.970
0.180,-9.970
0.190,-9.970
0.200,-9.970
0.210,-9.986
0.220,-10.007
0.230,-10.028
0.240,-10.054
0.250,-10.087
0.260,-10.120
0.270,-10.155
0.280,-10.209
0.290,-10.263
0.300,-10.317
0.310,-10.410
0.320,-10.515
0.330,-10.620
0.340,-10.725
0.350,-10.830
0.360,-10.935
0.370,-11.024
0.380,-10.955
0.390,-10.886
0.400,-10.817
0.410,-10.523
0.420,-10.157
0.430,-9.791
0.440,-9.510
0.450,-9.345
0.460,-9.180
0.470,-9.025
0.480,-8.965
0.490,-8.905
0.500,-8.845
0.510,-8.780
0.520,-8.714
0.530,-8.648
0.540,-8.653
0.550,-8.755
0.560,-8.857
0.570,-8.963
0.580,-9.110
0.590,-9.257
0.600,-9.404
0.610,-9.512
0.620,-9.608
0.630,-9.704
0.640,-9.776
0.650,-9.815
0.660,-9.854
0.670,-9.892
0.680,-9.913
0.690,-9.934
0.700,-9.955
0.710,-9.976
0.720,-9.997
0.730,-10.018
0.740,-10.039
0.750,-10.060
0.760,-10.081
0.770,-10.100
0.780,-10.100
0.790,-10.100
0.800,-10.100
0.810,-10.102
0.820,-10.105
0.830,-10.108
0.840,-10.104
0.850,-10.089
0.860,-10.074
0.870,-10.060
0.880,-10.054
0.890,-10.048
0.900,-10.042
0.910,-10.038
0.920,-10.035
0.930,-10.032
0.940,-10.032
0.950,-10.038
0.960,-10.044
0.970,-10.053
0.980,-10.089
0.990,-10.125
1.000,-10.161
1.010,-10.190
1.020,-10.217
1.030,-10.244
1.040,-10.286
1.050,-10.349
1.060,-10.412
1.070,-10.476
1.080,-10.557
1.090,-10.638
1.100,-10.719
1.110,-10.747
1.120,-10.756
1.130,-10.765
1.140,-10.653
1.150,-10.365
1.160,-10.077
1.170,-9.795
1.180,-9.582
1.190,-9.369
1.200,-9.156
1.210,-9.016
1.220,-8.902
1.230,-8.788
1.240,-8.688
1.250,-8.610
1.260,-8.532
1.270,-8.466
1.280,-8.550
1.290,-8.634
1.300,-8.718
1.310,-8.870
1.320,-9.047
1.330,-9.224
1.340,-9.385
1.350,-9.523
1.360,-9.661
1.370,-9.796
1.380,-9.876
1.390,-9.957
1.400,-10.038
1.410,-10.069
1.420,-10.081
1.430,-10.093
1.440,-10.094
1.450,-10.079
1.460,-10.064
1.470,-10.049
1.480,-10.040
1.490,-10.031
1.500,-10.022
1.510,-10.007
1.520,-9.989
1.530,-9.971
1.540,-9.960
1.550,-9.960
1.560,-9.960
1.570,-9.961
1.580,-9.970
1.590,-9.979
1.600,-9.988
1.610,-9.994
1.620,-10.000
1.630,-10.006
1.640,-10.017
1.650,-10.035
1.660,-10.053
1.670,-10.072
1.680,-10.099
1.690,-10.126
1.700,-10.153
1.710,-10.188
1.720,-10.227
1.730,-10.266
1.740,-10.310
1.750,-10.361
1.760,-10.412
1.770,-10.462
1.780,-10.504
1.790,-10.546
1.800,-10.588
1.810,-10.617
1.820,-10.641
1.830,-10.665
1.840,-10.626
1.850,-10.488
1.860,-10.350
1.870,-10.207
1.880,-9.973
1.890,-9.739
1.900,-9.505
1.910,-9.340
1.920,-9.202
1.930,-9.064
1.940,-8.942
1.950,-8.843
1.960,-8.744
1.970,-8.651
1.980,-8.678
1.990,-8.705
2.000,-8.732
2.010,-8.852
2.020,-9.008
2.030,-9.164
2.040,-9.314
2.050,-9.455
2.060,-9.596
2.070,-9.734
2.080,-9.806
2.090,-9.878
2.100,-9.950
2.110,-9.985
2.120,-10.006
