Índice,Aceleracion_Z,Comentario
212,-5.257667,50 compresiones
213,-6.79235,50 compresiones
214,-4.72376,50 compresiones
215,-5.011064,50 compresiones
216,-6.780379,50 compresiones
217,-6.694188,50 compresiones
218,-7.627927,50 compresiones
219,-7.565677,50 compresiones
220,-7.52737,50 compresiones
221,-7.328651,50 compresiones
222,-7.821857,50 compresiones
223,-6.698977,50 compresiones
224,-7.548918,50 compresiones
225,-8.121132,50 compresiones
226,-7.505822,50 compresiones
227,-6.246472,50 compresiones
228,-7.060501,50 compresiones
229,-6.054936,50 compresiones
230,-5.26485,50 compresiones
231,-7.192182,50 compresiones
232,-9.138668,50 compresiones
233,-9.279925,50 compresiones
234,-9.698911,50 compresiones
235,-8.243237,50 compresiones
236,-15.34683,50 compresiones
237,-15.07868,50 compresiones
238,-13.24712,50 compresiones
239,-14.72674,50 compresiones
240,-12.33493,50 compresiones
241,-12.70842,50 compresiones
242,-12.29423,50 compresiones
243,-11.74595,50 compresiones
244,-6.971915,50 compresiones
245,-8.695741,50 compresiones
246,-11.3557,50 compresiones
247,-10.12029,50 compresiones
248,-10.33098,50 compresiones
249,-14.82011,50 compresiones
250,-14.85363,50 compresiones
251,-13.90552,50 compresiones
252,-13.23754,50 compresiones
253,-11.57836,50 compresiones
254,-12.14818,50 compresiones
255,-11.94946,50 compresiones
256,-12.37324,50 compresiones
257,-10.77391,50 compresiones
258,-10.88883,50 compresiones
259,-9.009381,50 compresiones
260,-9.840169,50 compresiones
261,-9.677363,50 compresiones
262,-9.212888,50 compresiones
263,-8.963891,50 compresiones
264,-9.835381,50 compresiones
265,-9.574412,50 compresiones
266,-9.52174,50 compresiones
267,-6.05733,50 compresiones
268,-7.012617,50 compresiones
269,-5.997475,50 compresiones
270,-8.449138,50 compresiones
271,-7.975086,50 compresiones
272,-8.118738,50 compresiones
273,-7.635109,50 compresiones
274,-7.735666,50 compresiones
275,-8.623915,50 compresiones
276,-8.173804,50 compresiones
277,-8.137892,50 compresiones
278,-8.329428,50 compresiones
279,-8.257602,50 compresiones
280,-8.116343,50 compresiones
281,-7.90326,50 compresiones
282,-7.90326,50 compresiones
283,-8.085219,50 compresiones
284,-7.563283,50 compresiones
285,-8.401254,50 compresiones
286,-7.493851,50 compresiones
287,-6.493075,50 compresiones
288,-5.930438,50 compresiones
289,-5.518635,50 compresiones
290,-7.493851,50 compresiones
291,-7.824251,50 compresiones
292,-9.576807,50 compresiones
293,-10.31183,50 compresiones
294,-11.05642,50 compresiones
295,-9.445126,50 compresiones
296,-9.006987,50 compresiones
297,-6.713342,50 compresiones
298,-6.610391,50 compresiones
299,-6.019023,50 compresiones
300,-5.664681,50 compresiones
301,-5.418078,50 compresiones
302,-8.26239,50 compresiones
303,-8.257602,50 compresiones
304,-6.648698,50 compresiones
305,-7.685388,50 compresiones
306,-9.016563,50 compresiones
307,-8.240842,50 compresiones
308,-8.623915,50 compresiones
309,-7.623138,50 compresiones
310,-7.807492,50 compresiones
311,-7.438785,50 compresiones
312,-7.445967,50 compresiones
313,-7.66384,50 compresiones
314,-7.90326,50 compresiones
315,-7.505822,50 compresiones
316,-7.924808,50 compresiones
317,-6.83784,50 compresiones
318,-5.918467,50 compresiones
319,-6.936002,50 compresiones
320,-7.094019,50 compresiones
321,-8.568848,50 compresiones
