Índice,Aceleracion_Z,Comentario
0,-8.939949,1 min - 100 contadas - cpAr
1,-8.925584,1 min - contadas - cpAr
2,-8.8777,1 min - contadas - cpAr
3,-8.916007,1 min - contadas - cpAr
4,-8.92319,1 min - contadas - cpAr
5,-8.927979,1 min - contadas - cpAr
6,-8.944737,1 min - contadas - cpAr
7,-8.904037,1 min - contadas - cpAr
8,-8.916007,1 min - contadas - cpAr
9,-8.868123,1 min - contadas - cpAr
10,-8.901642,1 min - contadas - cpAr
11,-8.920795,1 min - contadas - cpAr
12,-8.899248,1 min - contadas - cpAr
13,-8.904037,1 min - contadas - cpAr
14,-8.935161,1 min - contadas - cpAr
15,-8.963891,1 min - contadas - cpAr
16,-8.870518,1 min - contadas - cpAr
17,-8.920795,1 min - contadas - cpAr
18,-8.892065,1 min - contadas - cpAr
19,-8.939949,1 min - contadas - cpAr
20,-8.90643,1 min - contadas - cpAr
21,-8.89446,1 min - contadas - cpAr
22,-8.920795,1 min - contadas - cpAr
23,-8.92319,1 min - contadas - cpAr
24,-8.90643,1 min - contadas - cpAr
25,-8.925584,1 min - contadas - cpAr
26,-8.927979,1 min - contadas - cpAr
27,-8.961497,1 min - contadas - cpAr
28,-8.951921,1 min - contadas - cpAr
29,-8.836999,1 min - contadas - cpAr
30,-8.939949,1 min - contadas - cpAr
31,-8.875306,1 min - contadas - cpAr
32,-8.911219,1 min - contadas - cpAr
33,-8.927979,1 min - contadas - cpAr
34,-8.930372,1 min - contadas - cpAr
35,-8.858546,1 min - contadas - cpAr
36,-8.887277,1 min - contadas - cpAr
37,-8.949526,1 min - contadas - cpAr
38,-8.901642,1 min - contadas - cpAr
39,-8.90643,1 min - contadas - cpAr
40,-8.918402,1 min - contadas - cpAr
41,-8.916007,1 min - contadas - cpAr
42,-8.865729,1 min - contadas - cpAr
43,-8.896853,1 min - contadas - cpAr
44,-8.916007,1 min - contadas - cpAr
45,-8.892065,1 min - contadas - cpAr
46,-8.892065,1 min - contadas - cpAr
47,-8.872911,1 min - contadas - cpAr
48,-8.935161,1 min - contadas - cpAr
49,-8.913613,1 min - contadas - cpAr
50,-8.860941,1 min - contadas - cpAr
51,-8.968679,1 min - contadas - cpAr
52,-8.966286,1 min - contadas - cpAr
53,-8.868123,1 min - contadas - cpAr
54,-8.925584,1 min - contadas - cpAr
55,-8.896853,1 min - contadas - cpAr
56,-8.889671,1 min - contadas - cpAr
57,-8.841787,1 min - contadas - cpAr
58,-8.935161,1 min - contadas - cpAr
59,-8.887277,1 min - contadas - cpAr
60,-8.899248,1 min - contadas - cpAr
61,-8.846576,1 min - contadas - cpAr
62,-8.916007,1 min - contadas - cpAr
63,-8.892065,1 min - contadas - cpAr
64,-8.918402,1 min - contadas - cpAr
65,-8.927979,1 min - contadas - cpAr
66,-8.868123,1 min - contadas - cpAr
67,-8.908825,1 min - contadas - cpAr
