Índice,Aceleracion_Z,Comentario
0,-9.097966,70 compresiones
1,-9.090784,70 compresiones
2,-9.040505,70 compresiones
3,-9.136273,70 compresiones
4,-9.095572,70 compresiones
5,-9.059659,70 compresiones
6,-9.090784,70 compresiones
7,-9.121908,70 compresiones
8,-9.069236,70 compresiones
9,-9.165004,70 compresiones
10,-9.028535,70 compresiones
11,-9.083601,70 compresiones
12,-9.074024,70 compresiones
13,-9.069236,70 compresiones
14,-9.119514,70 compresiones
15,-9.076419,70 compresiones
16,-9.081207,70 compresiones
17,-9.083601,70 compresiones
18,-9.059659,70 compresiones
19,-9.081207,70 compresiones
20,-9.126697,70 compresiones
21,-9.01417,70 compresiones
22,-9.078813,70 compresiones
23,-9.109938,70 compresiones
24,-9.02614,70 compresiones
25,-9.153033,70 compresiones
26,-9.0429,70 compresiones
27,-9.085996,70 compresiones
28,-9.07163,70 compresiones
29,-9.07163,70 compresiones
30,-9.018958,70 compresiones
31,-9.02614,70 compresiones
32,-9.074024,70 compresiones
33,-9.105149,70 compresiones
34,-9.059659,70 compresiones
35,-9.004593,70 compresiones
36,-9.054871,70 compresiones
37,-9.085996,70 compresiones
38,-9.109938,70 compresiones
39,-9.141062,70 compresiones
40,-8.987833,70 compresiones
41,-8.631097,70 compresiones
42,-9.064447,70 compresiones
43,-9.176975,70 compresiones
44,-9.28232,70 compresiones
45,-9.078813,70 compresiones
46,-9.078813,70 compresiones
47,-9.28232,70 compresiones
48,-9.19134,70 compresiones
49,-9.035717,70 compresiones
50,-9.078813,70 compresiones
51,-9.07163,70 compresiones
52,-9.006987,70 compresiones
53,-9.01417,70 compresiones
54,-9.023746,70 compresiones
55,-8.963891,70 compresiones
56,-9.141062,70 compresiones
57,-9.174581,70 compresiones
58,-9.085996,70 compresiones
59,-9.112331,70 compresiones
60,-9.021352,70 compresiones
61,-9.033323,70 compresiones
62,-9.002198,70 compresiones
63,-9.011775,70 compresiones
64,-9.160215,70 compresiones
65,-9.083601,70 compresiones
66,-9.074024,70 compresiones
67,-9.105149,70 compresiones
68,-8.930372,70 compresiones
69,-9.07163,70 compresiones
70,-9.02614,70 compresiones
71,-9.105149,70 compresiones
72,-9.066842,70 compresiones
73,-9.011775,70 compresiones
74,-8.971074,70 compresiones
75,-8.975863,70 compresiones
76,-9.13388,70 compresiones
77,-9.081207,70 compresiones
78,-9.109938,70 compresiones
79,-9.050082,70 compresiones
80,-9.076419,70 compresiones
81,-9.155427,70 compresiones
82,-9.184157,70 compresiones
83,-9.047688,70 compresiones
84,-9.066842,70 compresiones
85,-8.925584,70 compresiones
86,-8.966286,70 compresiones
87,-9.016563,70 compresiones
88,-9.160215,70 compresiones
89,-9.0429,70 compresiones
90,-9.13388,70 compresiones
91,-9.038112,70 compresiones
92,-9.107543,70 compresiones
93,-9.174581,70 compresiones
94,-8.959103,70 compresiones
95,-9.481039,70 compresiones
96,-8.41083,70 compresiones
97,-8.714894,70 compresiones
98,-9.821015,70 compresiones
99,-10.06762,70 compresiones
100,-9.052477,70 compresiones
101,-8.738836,70 compresiones
102,-8.784326,70 compresiones
103,-8.607155,70 compresiones
104,-8.343793,70 compresiones
105,-9.205706,70 compresiones
106,-7.975086,70 compresiones
107,-7.673417,70 compresiones
108,-8.008605,70 compresiones
109,-8.413225,70 compresiones
110,-8.149862,70 compresiones
111,-8.183381,70 compresiones
112,-8.456321,70 compresiones
113,-9.979033,70 compresiones
114,-8.686164,70 compresiones
115,-8.561666,70 compresiones
116,-9.792285,70 compresiones
117,-10.50815,70 compresiones
118,-11.78426,70 compresiones
119,-11.54724,70 compresiones
120,-11.42034,70 compresiones
121,-14.35085,70 compresiones
122,-13.9558,70 compresiones
123,-12.51928,70 compresiones
124,-12.24634,70 compresiones
125,-11.70525,70 compresiones
126,-11.25754,70 compresiones
