tiempo_s,aceleracion_z
0.000,-10.294
0.010,-10.325
0.020,-10.358
0.030,-10.391
0.040,-10.450
0.050,-10.543
0.060,-10.636
0.070,-10.723
0.080,-10.753
0.090,-10.783
0.100,-10.813
0.110,-10.818
0.120,-10.815
0.130,-10.812
0.140,-10.764
0.150,-10.656
0.160,-10.548
0.170,-10.421
0.180,-10.125
0.190,-9.828
0.200,-9.531
0.210,-9.378
0.220,-9.270
0.230,-9.162
0.240,-9.060
0.250,-8.967
0.260,-8.874
0.270,-8.781
0.280,-8.688
0.290,-8.595
0.300,-8.502
0.310,-8.578
0.320,-8.707
0.330,-8.836
0.340,-8.994
0.350,-9.192
0.360,-9.390
0.370,-9.583
0.380,-9.721
0.390,-9.859
0.400,-9.997
0.410,-10.066
0.420,-10.114
0.430,-10.162
0.440,-10.200
0.450,-10.224
0.460,-10.248
0.470,-10.273
0.480,-10.309
0.490,-10.345
0.500,-10.381
0.510,-10.428
0.520,-10.479
0.530,-10.530
0.540,-10.587
0.550,-10.649
0.560,-10.712
0.570,-10.772
0.580,-10.790
0.590,-10.808
0.600,-10.826
0.610,-10.778
0.620,-10.709
0.630,-10.640
0.640,-10.544
0.650,-10.409
0.660,-10.274
0.670,-10.136
0.680,-9.965
0.690,-9.794
0.700,-9.623
0.710,-9.517
0.720,-9.433
0.730,-9.349
0.740,-9.260
0.750,-9.164
0.760,-9.068
0.770,-8.973
0.780,-8.892
0.790,-8.811
0.800,-8.730
0.810,-8.739
0.820,-8.778
0.830,-8.817
0.840,-8.905
0.850,-9.061
0.860,-9.216
0.870,-9.370
0.880,-9.499
0.890,-9.628
0.900,-9.757
0.910,-9.862
0.920,-9.958
0.930,-10.054
0.940,-10.124
0.950,-10.157
0.960,-10.190
0.970,-10.222
0.980,-10.243
0.990,-10.264
1.000,-10.285
1.010,-10.328
1.020,-10.379
1.030,-10.430
1.040,-10.488
1.050,-10.557
1.060,-10.626
1.070,-10.696
1.080,-10.771
1.090,-10.846
1.100,-10.921
1.110,-10.911
1.120,-10.872
1.130,-10.833
1.140,-10.755
1.150,-10.620
1.160,-10.485
1.170,-10.341
1.180,-10.074
1.190,-9.807
1.200,-9.540
1.210,-9.361
1.220,-9.214
1.230,-9.068
1.240,-8.958
1.250,-8.904
1.260,-8.850
1.270,-8.798
1.280,-8.765
1.290,-8.732
1.300,-8.699
1.310,-8.750
1.320,-8.831
1.330,-8.912
1.340,-9.030
1.350,-9.204
1.360,-9.378
1.370,-9.549
1.380,-9.687
